NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
SUNPHA,396.25,394.60,397.25,398.25,395.25,394.60,1.65,+0.42,"13,529",09:20:19.000,616.50,350.40,2019-10-15 09:19:26,2019-10-15,09,19
ONGC,137.20,135.20,136.60,138.00,136.60,135.20,2.00,+1.48,"38,485",09:20:21.000,178.95,115.55,2019-10-15 09:19:26,2019-10-15,09,19
BAAUTO,"2,970.15","2,956.05","2,959.00","2,972.00","2,956.50","2,956.05",14.10,+0.48,280,09:20:23.000,"3,145.55","2,400.00",2019-10-15 09:19:26,2019-10-15,09,19
BHARAS,NA,"5,767.35",NA,NA,NA,"5,767.35",NA,NA,NA,09:20:18.000,"6,539.00","3,352.10",2019-10-15 09:19:26,2019-10-15,09,19
INDOIL,146.65,144.80,145.95,146.95,145.20,144.80,1.85,+1.28,"22,368",09:20:29.000,170.40,116.10,2019-10-15 09:19:26,2019-10-15,09,19
COALIN,188.40,190.10,188.30,190.60,188.15,190.10,-1.70,-0.89,"18,050",09:20:31.000,288.30,177.80,2019-10-15 09:19:26,2019-10-15,09,19
WIPRO,244.50,243.35,244.00,245.50,244.00,243.35,1.15,+0.47,"22,140",09:20:33.000,301.55,220.50,2019-10-15 09:19:26,2019-10-15,09,19
HERHON,"2,620.20","2,609.25","2,616.85","2,624.00","2,615.00","2,609.25",10.95,+0.42,359,09:20:34.000,"3,382.70","2,228.25",2019-10-15 09:19:26,2019-10-15,09,19
BRIIND,"3,135.00","3,107.20","3,139.90","3,146.00","3,125.65","3,107.20",27.80,+0.89,"1,156",09:20:35.000,"3,443.90","2,302.00",2019-10-15 09:19:26,2019-10-15,09,19
UNIP,582.55,586.95,585.30,585.30,580.95,586.95,-4.40,-0.75,"6,435",09:20:35.000,709.25,390.53,2019-10-15 09:19:26,2019-10-15,09,19
DRREDD,"2,661.60","2,648.90","2,663.10","2,663.10","2,659.80","2,648.90",12.70,+0.48,139,09:20:37.000,"2,965.20","2,065.30",2019-10-15 09:19:26,2019-10-15,09,19
ADAPOR,409.55,406.95,409.50,410.00,407.60,406.95,2.60,+0.64,"2,380",09:20:39.000,430.00,293.95,2019-10-15 09:19:26,2019-10-15,09,19
GRASIM,697.65,698.65,699.00,699.00,693.75,698.65,-1.00,-0.14,"2,023",09:20:41.000,958.55,635.60,2019-10-15 09:19:26,2019-10-15,09,19
VEDLIM,146.35,147.85,147.50,147.50,146.10,147.85,-1.50,-1.01,"10,280",09:20:43.000,228.00,125.70,2019-10-15 09:19:26,2019-10-15,09,19
HINDAL,186.95,188.80,188.00,188.00,186.75,188.80,-1.85,-0.98,"8,229",09:20:44.000,246.00,171.25,2019-10-15 09:19:26,2019-10-15,09,19
TATSTE,343.15,344.85,345.50,346.15,342.20,344.85,-1.70,-0.49,"31,442",09:20:44.000,610.00,320.30,2019-10-15 09:19:26,2019-10-15,09,19
EICMOT,"18,417.35","18,311.25","18,370.00","18,439.90","18,270.00","18,311.25",106.10,+0.58,119,09:20:46.000,"25,300.00","15,196.95",2019-10-15 09:19:26,2019-10-15,09,19
GAIL,126.10,125.85,126.50,126.85,125.90,125.85,0.25,+0.20,"3,214",09:20:46.000,190.98,119.65,2019-10-15 09:19:26,2019-10-15,09,19
JSWSTE,219.90,221.50,221.05,221.05,219.35,221.50,-1.60,-0.72,"5,411",09:20:49.000,384.90,201.90,2019-10-15 09:19:26,2019-10-15,09,19
BHAINF,256.30,259.25,258.25,258.25,256.00,259.25,-2.95,-1.14,234,09:20:49.000,333.80,238.70,2019-10-15 09:19:26,2019-10-15,09,19
CIPLA,437.75,440.85,444.00,444.00,436.00,440.85,-3.10,-0.70,"3,670",09:20:52.000,651.95,389.55,2019-10-15 09:19:26,2019-10-15,09,19
TATMOT,126.50,127.80,127.50,127.50,125.70,127.80,-1.30,-1.02,"162,190",09:20:54.000,239.30,106.00,2019-10-15 09:19:26,2019-10-15,09,19
