NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
YESBAN,40.90,40.00,41.00,41.40,40.70,40.00,0.90,+2.25,380603,09:19:25.000,285.90,29.05,2019-10-15 09:17:49,2019-10-15,09,17
BSESEN,38327.33,38214.47,38316.49,38351.48,38238.27,38214.47,112.86,+0.30,NA,09:19:26.460,NA,NA,2019-10-15 09:19:26,2019-10-15,09,19
HDFBAN,1212.30,1203.15,1210.00,1213.25,1207.80,1203.15,9.15,+0.76,2819,09:19:28.000,1285.00,942.20,2019-10-15 09:19:26,2019-10-15,09,19
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-15 09:19:26,2019-10-15,09,19
HDFC,2026.55,2011.50,2013.00,2027.00,2013.00,2011.50,15.05,+0.75,594,09:19:31.000,2357.00,1646.00,2019-10-15 09:19:26,2019-10-15,09,19
INFTEC,771.60,785.65,773.80,774.75,767.25,785.65,-14.05,-1.79,42669,09:19:32.000,847.40,600.65,2019-10-15 09:19:26,2019-10-15,09,19
ICIBAN,430.50,428.60,430.00,431.80,428.00,428.60,1.90,+0.44,11539,09:19:34.000,458.45,309.60,2019-10-15 09:19:26,2019-10-15,09,19
ITC,245.80,244.20,247.40,247.40,245.10,244.20,1.60,+0.66,10867,09:19:36.000,310.00,234.10,2019-10-15 09:19:26,2019-10-15,09,19
TCS,2044.95,2020.95,2028.80,2045.00,2024.20,2020.95,24.00,+1.19,4177,09:19:38.000,2296.00,1784.00,2019-10-15 09:19:26,2019-10-15,09,19
KOTMAH,1592.00,1583.75,1586.00,1594.40,1586.00,1583.75,8.25,+0.52,938,09:19:39.000,1682.40,1099.00,2019-10-15 09:19:26,2019-10-15,09,19
LARTOU,1426.85,1422.65,1427.00,1430.30,1425.00,1422.65,4.20,+0.30,1695,09:19:42.000,1606.70,1183.40,2019-10-15 09:19:26,2019-10-15,09,19
HINLEV,2031.00,2014.70,2052.00,2052.00,2028.10,2014.70,16.30,+0.81,11920,09:19:45.000,2101.50,1500.40,2019-10-15 09:19:26,2019-10-15,09,19
AXIBAN,687.00,683.55,683.65,687.75,681.80,683.55,3.45,+0.50,7754,09:19:46.000,826.55,534.15,2019-10-15 09:19:26,2019-10-15,09,19
STABAN,256.75,255.45,256.80,257.20,256.05,255.45,1.30,+0.51,37178,09:19:49.000,373.70,244.35,2019-10-15 09:19:26,2019-10-15,09,19
BAJFI,3904.80,3881.65,3909.00,3911.20,3880.00,3881.65,23.15,+0.60,1574,09:19:50.000,4112.00,2000.80,2019-10-15 09:19:26,2019-10-15,09,19
MARUTI,6835.05,6819.55,6829.00,6844.95,6810.00,6819.55,15.50,+0.23,1673,09:19:52.000,7929.00,5447.00,2019-10-15 09:19:26,2019-10-15,09,19
INDBA,1252.05,1250.50,1251.55,1261.10,1251.55,1250.50,1.55,+0.12,5411,09:19:55.000,1835.00,1192.00,2019-10-15 09:19:26,2019-10-15,09,19
ASIPAI,1806.00,1797.65,1797.00,1807.00,1797.00,1797.65,8.35,+0.46,1019,09:19:57.000,1819.55,1119.60,2019-10-15 09:19:26,2019-10-15,09,19
BHAAIR,389.50,393.50,391.95,391.95,388.30,393.50,-4.00,-1.02,4726,09:19:58.000,396.55,264.41,2019-10-15 09:19:26,2019-10-15,09,19
HCLTEC,1090.30,1087.05,1088.60,1091.00,1081.05,1087.05,3.25,+0.30,2519,09:20:01.000,1190.00,920.15,2019-10-15 09:19:26,2019-10-15,09,19
TITIND,1256.00,1249.05,1251.00,1256.45,1251.00,1249.05,6.95,+0.56,675,09:20:04.000,1345.55,766.65,2019-10-15 09:19:26,2019-10-15,09,19
MAHMAH,570.00,568.50,570.00,570.00,566.65,568.50,1.50,+0.26,2618,09:20:06.000,814.00,502.85,2019-10-15 09:19:26,2019-10-15,09,19
BAFINS,8129.95,8073.45,8108.95,8129.95,8084.50,8073.45,56.50,+0.70,226,09:20:08.000,8668.65,4960.00,2019-10-15 09:19:26,2019-10-15,09,19
NTPC,117.50,117.80,117.70,118.00,117.35,117.80,-0.30,-0.25,3436,09:20:10.000,145.85,106.71,2019-10-15 09:19:26,2019-10-15,09,19
NESIND,14108.45,14174.10,14175.00,14175.00,14085.95,14174.10,-65.65,-0.46,26,09:20:11.000,14300.00,9205.00,2019-10-15 09:19:26,2019-10-15,09,19
POWGRI,198.60,198.45,198.80,199.20,198.45,198.45,0.15,+0.08,2262,09:20:14.000,216.20,173.05,2019-10-15 09:19:26,2019-10-15,09,19
ULTCEM,4194.00,4171.90,4121.35,4195.00,4121.35,4171.90,22.10,+0.53,165,09:20:16.000,4903.90,3263.70,2019-10-15 09:19:26,2019-10-15,09,19
TECMAH,725.45,720.60,721.00,727.50,721.00,720.60,4.85,+0.67,1913,09:20:17.000,846.00,607.90,2019-10-15 09:19:26,2019-10-15,09,19
SUNPHA,396.25,394.60,397.25,398.25,395.25,394.60,1.65,+0.42,13529,09:20:19.000,616.50,350.40,2019-10-15 09:19:26,2019-10-15,09,19
ONGC,137.20,135.20,136.60,138.00,136.60,135.20,2.00,+1.48,38485,09:20:21.000,178.95,115.55,2019-10-15 09:19:26,2019-10-15,09,19
BAAUTO,2970.15,2956.05,2959.00,2972.00,2956.50,2956.05,14.10,+0.48,280,09:20:23.000,3145.55,2400.00,2019-10-15 09:19:26,2019-10-15,09,19
