NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
BHARAS,5815,5767.35,5773.85,5827,5773.85,5767.35,2019-10-15 10:50:38,2019-10-15,10,50
INDOIL,147.6,144.8,145.95,148.3,145.2,144.8,2019-10-15 10:50:38,2019-10-15,10,50
COALIN,190.7,190.1,188.3,190.85,188.1,190.1,2019-10-15 10:50:38,2019-10-15,10,50
WIPRO,240,243.35,244,245.5,239.4,243.35,2019-10-15 10:50:38,2019-10-15,10,50
HERHON,2656,2609.25,2616.85,2659,2615,2609.25,2019-10-15 10:50:38,2019-10-15,10,50
BRIIND,3124.8,3107.2,3139.9,3154.2,3115.45,3107.2,2019-10-15 10:50:38,2019-10-15,10,50
UNIP,588,586.95,585.3,590.95,580.95,586.95,2019-10-15 10:50:38,2019-10-15,10,50
DRREDD,2673.3,2648.9,2663.1,2677.85,2659.8,2648.9,2019-10-15 10:50:38,2019-10-15,10,50
ADAPOR,411.25,406.95,409.5,411.7,407.6,406.95,2019-10-15 10:50:38,2019-10-15,10,50
GRASIM,700.4,698.65,699,702.5,691.95,698.65,2019-10-15 10:50:38,2019-10-15,10,50
VEDLIM,144.95,147.85,147.5,147.5,144.6,147.85,2019-10-15 10:50:38,2019-10-15,10,50
HINDAL,186.65,188.8,188,188,186,188.8,2019-10-15 10:50:38,2019-10-15,10,50
TATSTE,340.8,344.85,345.5,346.15,339.55,344.85,2019-10-15 10:50:38,2019-10-15,10,50
EICMOT,18982.15,18311.25,18370,19030.05,18270,18311.25,2019-10-15 10:50:38,2019-10-15,10,50
GAIL,126.05,125.85,126.5,126.85,125.6,125.85,2019-10-15 10:50:38,2019-10-15,10,50
JSWSTE,215.4,221.5,221.05,221.05,214.5,221.5,2019-10-15 10:50:38,2019-10-15,10,50
BHAINF,257.75,259.25,258.25,258.3,255.45,259.25,2019-10-15 10:50:38,2019-10-15,10,50
